ApsimVersion = 7.10 r4207
Title = Br1soybeanSIF1
           date DaysAfterSowing    day_of_year           MaxT           MinT           Radn            LAI            SLN    swdef_photo    BIOtotalDAY BIOshootDAYPot    BIOshootDAY      RootShoot     EcanDemand     EcanSupply             TE    RadIntDcaps        Biomass          Yield Fsingle_spectral_toc            GPP           FPAR         height          stage             Je            RUE Fsingle_spectral_tot         Fyield              P
   (dd/mm/yyyy)           (day)             ()           (oC)           (oC)   (MJ/m^2/day)      (m^2/m^2)      (mgN/m^2)             ()             ()             ()             ()             ()             ()             ()             ()             ()        (kg/ha)        (kg/ha)                   ()             ()             ()           (mm)             ()             ()             ()                   ()             ()             ()
     01/01/2017               0              1          1.040         -7.990          5.420          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     02/01/2017               0              2          2.420         -3.340          1.250          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     03/01/2017               0              3          0.200        -13.500          7.750          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     04/01/2017               0              4        -10.660        -15.720          9.060          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     05/01/2017               0              5        -12.660        -15.870          8.180          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     06/01/2017               0              6        -10.790        -18.200          9.400          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     07/01/2017               0              7         -6.560        -16.120          9.470          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     08/01/2017               0              8         -8.490        -17.130          5.740          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     09/01/2017               0              9         -0.180        -10.590          2.510          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
     10/01/2017               0             10          2.140         -6.420          4.040          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000            0.0            0.0                0.000          0.000          0.000          0.000          0.000          0.000          0.000                0.000          0.000          0.000
